,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
48,101690180,SUMMIT,ON,RECREATION,GOLF/COUNTRY CLUB,Y,Y,LowPoint
49,105604440,SALT LAKE,ON,RECREATION,THEATER,Y,Y,LowPoint
50,105631572,WASHINGTON,ON,LODGING,RESORT/CONVENTION,Y,Y,LowPoint
51,101743124,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
52,200549457,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
53,101966299,SEVIER,NR,NON RETAIL,CLIENT INTERNAL,N,N,LowPoint
54,100301273,DAVIS,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
55,100550451,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
56,103971132,SUMMIT,OFF,EXTENDED MASTER OFF-PREMISE,ETHNIC MARKETS,N,N,LowPoint
57,201675232,TOOELE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
58,101919234,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
59,105629056,WASHINGTON,ON,CATERER,CATERING,Y,Y,LowPoint
60,101820681,WEBER,OFF,GROCERY,SUPERETTE,Y,N,LowPoint
61,107085963,WASHINGTON,ON,DINING,CASUAL DINING,Y,Y,LowPoint
62,105603931,SUMMIT,ON,DINING,CASUAL DINING,Y,Y,LowPoint
63,100362795,WEBER,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
64,100699296,TOOELE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
65,100437179,UTAH,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
66,101647823,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
67,100429584,SEVIER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
68,101446764,SALT LAKE,ON,LODGING,FULL SERVICE LODGING,Y,Y,LowPoint
69,101690187,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
70,105627085,SALT LAKE,ON,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,Y,Y,LowPoint
71,101643763,BEAVER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
72,105628542,GRAND,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,N,LowPoint
